sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	ml_tp	ml_fp	ml_fn	ml_sensitivity	ml_precision	ml_f1	ml_snv_tp	ml_snv_fp	ml_snv_fn	ml_snv_sensitivity	ml_indel_tp	ml_indel_fp	ml_indel_fn	ml_indel_sensitivity	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_30ng_VAF_0p1pc	30ng	0.1	403760	28549	7.071	108	31	77	344	0	0.0827	0.287	0.0	1.0	0.713	0.9173	0.1284	28	80	177	0.1366	0.2593	0.0	1.0	3	105	167	0.0176	0.0278	0.0	1.0	31	77	344	0.0827	0.287	0.1284	28	80	177	0.1366	3	105	167	0.0176	38171	6391	411	17	0	2549.4	2085.6	2085.6	0.0	2096.4	109.8	109.7	99.7	0.0	109.7	2549.4	45.6	0
Sample_30ng_VAF_0p25pc	30ng	0.25	362468	21751	6.001	185	107	78	268	0	0.2853	0.5784	0.0	1.0	0.4216	0.7147	0.3821	78	107	127	0.3805	0.4216	0.0	1.0	29	156	141	0.1706	0.1568	0.0	1.0	107	78	268	0.2853	0.5784	0.3821	78	107	127	0.3805	29	156	141	0.1706	37600	5633	397	18	0	2482.2	2007.8	2007.8	0.0	2018.5	109.8	109.7	99.8	0.0	99.7	2482.2	44.2	0
Sample_30ng_VAF_0p5pc	30ng	0.5	416693	31667	7.6	271	186	85	189	0	0.496	0.6863	0.0	1.0	0.3137	0.504	0.5759	134	137	71	0.6537	0.4945	0.0	1.0	52	219	118	0.3059	0.1919	0.0	1.0	186	85	189	0.496	0.6863	0.5759	134	137	71	0.6537	52	219	118	0.3059	37750	6563	482	19	0	2598.6	2117.2	2117.2	2127.8	2128.4	109.8	109.7	99.8	99.8	99.8	2598.6	45.5	0
Sample_30ng_VAF_0pc	30ng	0.0	390130	26407	6.769	86	0	86	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	86	205	0.0	0.0	0.0	1.0	0	86	170	0.0	0.0	0.0	1.0	0	86	375	0.0	0.0	0.0	0	86	205	0.0	0	86	170	0.0	37769	6151	402	16	0	2525.9	2062.5	2062.5	0.0	2073.5	109.8	109.8	99.8	0.0	109.7	2525.9	44.9	0
Sample_30ng_VAF_1pc	30ng	1.0	395457	25611	6.476	307	221	86	154	0	0.5893	0.7199	0.0	1.0	0.2801	0.4107	0.6481	160	147	45	0.7805	0.5212	0.0	1.0	61	246	109	0.3588	0.1987	0.0	1.0	221	86	154	0.5893	0.7199	0.6481	160	147	45	0.7805	61	246	109	0.3588	38028	6287	433	19	0	2549.8	2070.2	2070.2	0.0	2081.2	109.8	109.7	99.8	0.0	109.7	2549.8	45.4	0
Sample_30ng_VAF_2pc	30ng	2.0	397961	26204	6.585	303	228	75	147	0	0.608	0.7525	0.0	1.0	0.2475	0.392	0.6726	163	140	42	0.7951	0.538	0.0	1.0	65	238	105	0.3824	0.2145	0.0	1.0	228	75	147	0.608	0.7525	0.6726	163	140	42	0.7951	65	238	105	0.3824	37779	6161	433	19	0	2586.0	2075.0	2075.0	0.0	2085.9	109.8	109.7	109.7	0.0	109.7	2586.0	45.0	0
Sample_5ng_VAF_0p001pc	5ng	0.001	631467	32063	5.078	34	0	34	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	34	205	0.0	0.0	0.0	1.0	0	34	170	0.0	0.0	0.0	1.0	0	34	375	0.0	0.0	0.0	0	34	205	0.0	0	34	170	0.0	40511	6016	236	16	0	2924.9	2403.6	2403.6	0.0	2414.7	109.8	109.8	99.7	0.0	99.8	2924.9	47.5	0
Sample_5ng_VAF_0p01pc	5ng	0.01	683493	31500	4.609	42	0	42	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	42	205	0.0	0.0	0.0	1.0	0	42	170	0.0	0.0	0.0	1.0	0	42	375	0.0	0.0	0.0	0	42	205	0.0	0	42	170	0.0	42790	6521	226	16	0	2982.1	2480.3	2480.3	0.0	2491.1	109.8	109.7	99.7	0.0	99.8	2982.1	50.2	0
Sample_5ng_VAF_0p1pc	5ng	0.1	637616	33244	5.214	58	3	53	372	0	0.008	0.0536	0.0	1.0	0.9464	0.992	0.0139	3	53	202	0.0146	0.0536	0.0	1.0	0	56	170	0.0	0.0	0.0	1.0	3	53	372	0.008	0.0536	0.0139	3	53	202	0.0146	0	56	170	0.0	41660	6175	250	16	0	2920.0	2421.6	2421.6	0.0	2432.4	109.8	109.7	99.8	0.0	99.8	2920.0	48.8	0
Sample_5ng_VAF_0p25pc	5ng	0.25	626286	37270	5.951	73	28	45	347	0	0.0747	0.3836	0.0	1.0	0.6164	0.9253	0.125	19	54	186	0.0927	0.2603	0.0	1.0	9	64	161	0.0529	0.1233	0.0	1.0	28	45	347	0.0747	0.3836	0.125	19	54	186	0.0927	9	64	161	0.0529	41830	6169	238	16	0	2905.6	2409.3	2409.3	0.0	2420.3	109.8	109.8	99.8	0.0	99.8	2905.6	48.9	0
Sample_5ng_VAF_0p5pc	5ng	0.5	643832	32136	4.991	108	70	38	305	0	0.1867	0.6481	0.0	1.0	0.3519	0.8133	0.2899	51	57	154	0.2488	0.4722	0.0	1.0	19	89	151	0.1118	0.1759	0.0	1.0	70	38	305	0.1867	0.6481	0.2899	51	57	154	0.2488	19	89	151	0.1118	40802	6095	238	16	0	2954.0	2423.7	2423.7	0.0	2434.7	109.8	109.7	99.8	0.0	109.7	2954.0	47.8	0
Sample_5ng_VAF_0pc	5ng	0.0	645861	22273	3.449	43	0	43	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	43	205	0.0	0.0	0.0	1.0	0	43	170	0.0	0.0	0.0	1.0	0	43	375	0.0	0.0	0.0	0	43	205	0.0	0	43	170	0.0	42404	5864	208	16	0	2949.1	2406.1	2406.1	0.0	2417.2	109.8	109.7	99.7	0.0	99.8	2949.1	49.2	0
Sample_5ng_VAF_1pc	5ng	1.0	609701	33081	5.426	197	150	47	225	0	0.4	0.7614	0.0	1.0	0.2386	0.6	0.5245	110	87	95	0.5366	0.5584	0.0	1.0	40	157	130	0.2353	0.203	0.0	1.0	150	47	225	0.4	0.7614	0.5245	110	87	95	0.5366	40	157	130	0.2353	40125	5864	255	17	0	2872.2	2376.0	2376.0	0.0	2386.9	109.8	109.7	99.8	0.0	99.8	2872.2	46.9	0
Sample_5ng_VAF_2pc	5ng	2.0	625985	29643	4.735	241	202	39	173	0	0.5387	0.8382	0.0	1.0	0.1618	0.4613	0.6558	147	94	58	0.7171	0.61	0.0	1.0	55	186	115	0.3235	0.2282	0.0	1.0	202	39	173	0.5387	0.8382	0.6558	147	94	58	0.7171	55	186	115	0.3235	40831	5847	239	17	0	2890.6	2394.0	2394.0	0.0	2405.1	109.8	109.7	99.8	0.0	99.8	2890.6	47.6	0
