sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	ml_tp	ml_fp	ml_fn	ml_sensitivity	ml_precision	ml_f1	ml_snv_tp	ml_snv_fp	ml_snv_fn	ml_snv_sensitivity	ml_indel_tp	ml_indel_fp	ml_indel_fn	ml_indel_sensitivity	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_30ng_VAF_0p1pc	30ng	0.1	403760	28549	7.071	100	31	69	344	0	0.0827	0.31	0.0	1.0	0.69	0.9173	0.1305	28	72	177	0.1366	0.28	0.0	1.0	3	97	167	0.0176	0.03	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37981	6278	401	0	0	2596.8	2085.5	2085.5	0.0	2085.6	109.8	109.7	99.8	0.0	99.7	2596.8	45.2	0
Sample_30ng_VAF_0p25pc	30ng	0.25	362468	21751	6.001	177	107	70	268	0	0.2853	0.6045	0.0	1.0	0.3955	0.7147	0.3877	78	99	127	0.3805	0.4407	0.0	1.0	29	148	141	0.1706	0.1638	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37364	5572	397	0	0	2460.9	2007.8	2007.8	0.0	2007.8	109.7	109.7	99.8	0.0	99.7	2460.9	43.9	0
Sample_30ng_VAF_0p5pc	30ng	0.5	416693	31667	7.6	262	185	77	190	0	0.4933	0.7061	0.0	1.0	0.2939	0.5067	0.5808	133	129	72	0.6488	0.5076	0.0	1.0	52	210	118	0.3059	0.1985	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37759	6598	489	1	0	2583.9	2117.3	2117.3	0.0	2117.3	109.7	109.8	99.8	0.0	109.7	2583.9	45.4	0
Sample_30ng_VAF_0pc	30ng	0.0	390130	26407	6.769	78	0	78	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	78	205	0.0	0.0	0.0	1.0	0	78	170	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37872	6067	412	0	0	2533.6	2062.4	2062.4	0.0	2062.5	109.8	109.7	99.7	0.0	99.7	2533.6	44.9	0
Sample_30ng_VAF_1pc	30ng	1.0	395457	25611	6.476	298	220	78	155	0	0.5867	0.7383	0.0	1.0	0.2617	0.4133	0.6538	159	139	46	0.7756	0.5336	0.0	1.0	61	237	109	0.3588	0.2047	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	38177	6467	456	1	0	2543.0	2070.3	2070.3	0.0	2070.4	109.8	109.7	99.8	0.0	109.7	2543.0	45.7	0
Sample_30ng_VAF_2pc	30ng	2.0	397961	26204	6.585	294	227	67	148	0	0.6053	0.7721	0.0	1.0	0.2279	0.3947	0.6786	162	132	43	0.7902	0.551	0.0	1.0	65	229	105	0.3824	0.2211	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	37892	6183	427	1	0	2566.1	2075.0	2075.0	0.0	2075.1	109.8	109.7	99.8	0.0	109.7	2566.1	45.1	0
Sample_5ng_VAF_0p001pc	5ng	0.001	631467	32063	5.078	26	0	26	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	26	205	0.0	0.0	0.0	1.0	0	26	170	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40556	6014	238	0	0	2899.8	2403.7	2403.7	0.0	2403.8	109.8	109.8	109.7	0.0	99.8	2899.8	47.5	0
Sample_5ng_VAF_0p01pc	5ng	0.01	683493	31500	4.609	34	0	34	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	34	205	0.0	0.0	0.0	1.0	0	34	170	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42870	6451	224	0	0	2982.1	2480.3	2480.3	0.0	2480.5	109.8	109.7	109.7	0.0	99.7	2982.1	50.2	0
Sample_5ng_VAF_0p1pc	5ng	0.1	637616	33244	5.214	50	3	45	372	0	0.008	0.0625	0.0	1.0	0.9375	0.992	0.0142	3	45	202	0.0146	0.0625	0.0	1.0	0	48	170	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41402	6093	250	0	0	2957.0	2421.3	2421.3	0.0	2421.5	109.8	109.8	99.8	0.0	99.8	2957.0	48.4	0
Sample_5ng_VAF_0p25pc	5ng	0.25	626286	37270	5.951	65	28	37	347	0	0.0747	0.4308	0.0	1.0	0.5692	0.9253	0.1273	19	46	186	0.0927	0.2923	0.0	1.0	9	56	161	0.0529	0.1385	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	41652	6166	231	0	0	2905.6	2409.3	2409.3	0.0	2409.5	109.8	109.7	99.8	0.0	109.7	2905.6	48.7	0
Sample_5ng_VAF_0p5pc	5ng	0.5	643832	32136	4.991	100	70	30	305	0	0.1867	0.7	0.0	1.0	0.3	0.8133	0.2947	51	49	154	0.2488	0.51	0.0	1.0	19	81	151	0.1118	0.19	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40732	6137	241	0	0	2921.4	2423.7	2423.7	0.0	2423.8	109.8	109.7	99.8	0.0	99.8	2921.4	47.8	0
Sample_5ng_VAF_0pc	5ng	0.0	645861	22273	3.449	34	0	34	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	34	205	0.0	0.0	0.0	1.0	0	34	170	0.0	0.0	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	42091	5860	203	0	0	2954.5	2406.1	2406.1	0.0	2406.3	109.8	109.7	99.7	0.0	99.7	2954.5	48.8	0
Sample_5ng_VAF_1pc	5ng	1.0	609701	33081	5.426	189	150	39	225	0	0.4	0.7937	0.0	1.0	0.2063	0.6	0.5319	110	79	95	0.5366	0.582	0.0	1.0	40	149	130	0.2353	0.2116	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40080	5862	252	0	0	2918.2	2376.0	2376.0	0.0	2376.2	109.8	109.7	99.7	0.0	99.8	2918.2	46.9	0
Sample_5ng_VAF_2pc	5ng	2.0	625985	29643	4.735	232	201	31	174	0	0.536	0.8664	0.0	1.0	0.1336	0.464	0.6623	146	86	59	0.7122	0.6293	0.0	1.0	55	177	115	0.3235	0.2371	0.0	1.0	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	NA	40915	5940	232	0	0	2916.8	2394.0	2394.0	0.0	2394.2	109.8	109.7	99.7	0.0	99.8	2916.8	47.7	0
