sample	ng	vaf	molecules	duplex	duplex_pct	variants_called	tp	fp	fn	tn	sensitivity	precision	specificity	fpr	fdr	fnr	f1	snv_tp	snv_fp	snv_fn	snv_sensitivity	snv_precision	snv_specificity	snv_fpr	indel_tp	indel_fp	indel_fn	indel_sensitivity	indel_precision	indel_specificity	indel_fpr	ml_tp	ml_fp	ml_fn	ml_sensitivity	ml_precision	ml_f1	ml_snv_tp	ml_snv_fp	ml_snv_fn	ml_snv_sensitivity	ml_indel_tp	ml_indel_fp	ml_indel_fn	ml_indel_sensitivity	t_assemble_ms	t_index_ms	t_pathfind_ms	t_call_ms	t_output_ms	rss_assemble_mb	rss_index_mb	rss_pathfind_mb	rss_call_mb	rss_output_mb	cpu_assemble_pct	cpu_index_pct	cpu_pathfind_pct	cpu_call_pct	cpu_output_pct	peak_rss_mb	wall_time_s	exit_code
Sample_30ng_VAF_0p1pc	30ng	0.1	403760	28549	7.071	19	8	11	367	0	0.0213	0.4211	0.0	1.0	0.5789	0.9787	0.0406	7	12	198	0.0341	0.3684	0.0	1.0	1	18	169	0.0059	0.0526	0.0	1.0	8	11	367	0.0213	0.4211	0.0406	7	12	198	0.0341	1	18	169	0.0059	38301	6483	414	17	0	2565.2	2085.5	2085.5	2090.5	2096.5	109.8	109.7	99.7	99.7	109.7	2565.2	45.8	0
Sample_30ng_VAF_0p25pc	30ng	0.25	362468	21751	6.001	33	30	3	345	0	0.08	0.9091	0.0	1.0	0.0909	0.92	0.1471	20	13	185	0.0976	0.6061	0.0	1.0	10	23	160	0.0588	0.303	0.0	1.0	30	3	345	0.08	0.9091	0.1471	20	13	185	0.0976	10	23	160	0.0588	37481	5710	390	18	0	2504.9	2007.7	2007.7	0.0	2018.5	109.7	109.7	99.8	0.0	109.7	2504.9	44.2	0
Sample_30ng_VAF_0p5pc	30ng	0.5	416693	31667	7.6	76	65	11	310	0	0.1733	0.8553	0.0	1.0	0.1447	0.8267	0.2882	47	29	158	0.2293	0.6184	0.0	1.0	18	58	152	0.1059	0.2368	0.0	1.0	65	11	310	0.1733	0.8553	0.2882	47	29	158	0.2293	18	58	152	0.1059	37899	6584	492	19	0	2610.7	2117.2	2117.2	0.0	2128.2	109.7	109.7	109.7	0.0	109.7	2610.7	45.6	0
Sample_30ng_VAF_0pc	30ng	0.0	390130	26407	6.769	6	0	6	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	6	205	0.0	0.0	0.0	1.0	0	6	170	0.0	0.0	0.0	1.0	0	6	375	0.0	0.0	0.0	0	6	205	0.0	0	6	170	0.0	37833	6067	403	16	0	2540.9	2062.3	2062.3	2064.4	2073.4	109.8	109.7	99.8	99.8	109.7	2540.9	44.9	0
Sample_30ng_VAF_1pc	30ng	1.0	395457	25611	6.476	109	102	7	273	0	0.272	0.9358	0.0	1.0	0.0642	0.728	0.4215	70	39	135	0.3415	0.6422	0.0	1.0	32	77	138	0.1882	0.2936	0.0	1.0	102	7	273	0.272	0.9358	0.4215	70	39	135	0.3415	32	77	138	0.1882	38290	6347	428	19	0	2573.3	2070.2	2070.2	0.0	2081.1	109.8	109.7	109.7	0.0	99.8	2573.3	45.7	0
Sample_30ng_VAF_2pc	30ng	2.0	397961	26204	6.585	157	148	9	227	0	0.3947	0.9427	0.0	1.0	0.0573	0.6053	0.5564	110	47	95	0.5366	0.7006	0.0	1.0	38	119	132	0.2235	0.242	0.0	1.0	148	9	227	0.3947	0.9427	0.5564	110	47	95	0.5366	38	119	132	0.2235	37918	6262	427	19	0	2555.0	2075.1	2075.1	0.0	2086.0	109.8	109.7	99.8	0.0	109.7	2555.0	45.2	0
Sample_5ng_VAF_0p001pc	5ng	0.001	631467	32063	5.078	4	0	4	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	4	205	0.0	0.0	0.0	1.0	0	4	170	0.0	0.0	0.0	1.0	0	4	375	0.0	0.0	0.0	0	4	205	0.0	0	4	170	0.0	40683	5906	238	16	0	2949.1	2403.7	2403.7	0.0	2414.5	109.8	109.7	99.7	0.0	99.8	2949.1	47.5	0
Sample_5ng_VAF_0p01pc	5ng	0.01	683493	31500	4.609	10	0	10	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	10	205	0.0	0.0	0.0	1.0	0	10	170	0.0	0.0	0.0	1.0	0	10	375	0.0	0.0	0.0	0	10	205	0.0	0	10	170	0.0	42832	6581	231	15	0	2982.2	2480.3	2480.3	0.0	2491.4	109.8	109.7	99.8	0.0	109.7	2982.2	50.4	0
Sample_5ng_VAF_0p1pc	5ng	0.1	637616	33244	5.214	17	2	15	373	0	0.0053	0.1176	0.0	1.0	0.8824	0.9947	0.0102	2	15	203	0.0098	0.1176	0.0	1.0	0	17	170	0.0	0.0	0.0	1.0	2	15	373	0.0053	0.1176	0.0102	2	15	203	0.0098	0	17	170	0.0	41594	6061	247	16	0	2969.8	2421.4	2421.4	2429.8	2432.3	109.8	109.7	99.8	99.8	99.8	2969.8	48.6	0
Sample_5ng_VAF_0p25pc	5ng	0.25	626286	37270	5.951	23	11	12	364	0	0.0293	0.4783	0.0	1.0	0.5217	0.9707	0.0553	8	15	197	0.039	0.3478	0.0	1.0	3	20	167	0.0176	0.1304	0.0	1.0	11	12	364	0.0293	0.4783	0.0553	8	15	197	0.039	3	20	167	0.0176	41810	6124	240	16	0	2940.7	2409.2	2409.2	0.0	2420.2	109.8	109.7	99.7	0.0	99.8	2940.7	48.9	0
Sample_5ng_VAF_0p5pc	5ng	0.5	643832	32136	4.991	54	47	7	328	0	0.1253	0.8704	0.0	1.0	0.1296	0.8747	0.2191	35	19	170	0.1707	0.6481	0.0	1.0	12	42	158	0.0706	0.2222	0.0	1.0	47	7	328	0.1253	0.8704	0.2191	35	19	170	0.1707	12	42	158	0.0706	40776	6116	244	17	0	2921.4	2423.7	2423.7	0.0	2434.5	109.8	109.8	99.8	0.0	109.7	2921.4	47.8	0
Sample_5ng_VAF_0pc	5ng	0.0	645861	22273	3.449	7	0	7	375	0	0.0	0.0	0.0	1.0	1.0	1.0	0.0	0	7	205	0.0	0.0	0.0	1.0	0	7	170	0.0	0.0	0.0	1.0	0	7	375	0.0	0.0	0.0	0	7	205	0.0	0	7	170	0.0	42252	5808	204	16	0	2904.0	2406.2	2406.2	0.0	2417.1	109.8	109.7	99.7	0.0	99.8	2904.0	48.9	0
Sample_5ng_VAF_1pc	5ng	1.0	609701	33081	5.426	116	107	9	268	0	0.2853	0.9224	0.0	1.0	0.0776	0.7147	0.4358	80	36	125	0.3902	0.6897	0.0	1.0	27	89	143	0.1588	0.2328	0.0	1.0	107	9	268	0.2853	0.9224	0.4358	80	36	125	0.3902	27	89	143	0.1588	40104	5906	263	17	0	2898.9	2376.0	2376.0	0.0	2387.1	109.8	109.7	99.8	0.0	109.7	2898.9	47.0	0
Sample_5ng_VAF_2pc	5ng	2.0	625985	29643	4.735	183	175	8	200	0	0.4667	0.9563	0.0	1.0	0.0437	0.5333	0.6272	128	55	77	0.6244	0.6995	0.0	1.0	47	136	123	0.2765	0.2568	0.0	1.0	175	8	200	0.4667	0.9563	0.6272	128	55	77	0.6244	47	136	123	0.2765	40943	5816	237	17	0	2890.6	2394.1	2394.1	2405.3	2405.3	109.8	109.7	99.8	99.8	99.7	2890.6	47.7	0
